programme_id,code_programme,nom,version,description,duree_estimee
344,PRG0344,Programme PERCAGE 0344,V3.1,Programme CNC pour percage,90
345,PRG0345,Programme ALÉSAGE 0345,V2.4,Programme CNC pour alésage,71
346,PRG0346,Programme TARAUDAGE 0346,V3.5,Programme CNC pour taraudage,84
347,PRG0347,Programme FINITION 0347,V1.3,Programme CNC pour finition,89
348,PRG0348,Programme TOURNAGE 0348,V3.1,Programme CNC pour tournage,66
349,PRG0349,Programme FRAISAGE 0349,V2.5,Programme CNC pour fraisage,91
350,PRG0350,Programme PERCAGE 0350,V3.3,Programme CNC pour percage,24
351,PRG0351,Programme ALÉSAGE 0351,V3.4,Programme CNC pour alésage,11
352,PRG0352,Programme TARAUDAGE 0352,V1.5,Programme CNC pour taraudage,25
353,PRG0353,Programme FINITION 0353,V3.3,Programme CNC pour finition,114
354,PRG0354,Programme TOURNAGE 0354,V2.1,Programme CNC pour tournage,14
355,PRG0355,Programme FRAISAGE 0355,V2.2,Programme CNC pour fraisage,35
356,PRG0356,Programme PERCAGE 0356,V2.2,Programme CNC pour percage,11
357,PRG0357,Programme ALÉSAGE 0357,V3.1,Programme CNC pour alésage,75
358,PRG0358,Programme TARAUDAGE 0358,V3.3,Programme CNC pour taraudage,56
359,PRG0359,Programme FINITION 0359,V1.0,Programme CNC pour finition,63
360,PRG0360,Programme TOURNAGE 0360,V2.4,Programme CNC pour tournage,62
361,PRG0361,Programme FRAISAGE 0361,V1.3,Programme CNC pour fraisage,62
362,PRG0362,Programme PERCAGE 0362,V2.0,Programme CNC pour percage,68
363,PRG0363,Programme ALÉSAGE 0363,V3.5,Programme CNC pour alésage,7
364,PRG0364,Programme TARAUDAGE 0364,V1.3,Programme CNC pour taraudage,57
365,PRG0365,Programme FINITION 0365,V1.4,Programme CNC pour finition,75
366,PRG0366,Programme TOURNAGE 0366,V1.0,Programme CNC pour tournage,106
367,PRG0367,Programme FRAISAGE 0367,V3.4,Programme CNC pour fraisage,86
368,PRG0368,Programme PERCAGE 0368,V2.4,Programme CNC pour percage,76
369,PRG0369,Programme ALÉSAGE 0369,V1.5,Programme CNC pour alésage,90
370,PRG0370,Programme TARAUDAGE 0370,V2.2,Programme CNC pour taraudage,51
371,PRG0371,Programme FINITION 0371,V1.1,Programme CNC pour finition,113
372,PRG0372,Programme TOURNAGE 0372,V2.2,Programme CNC pour tournage,76
373,PRG0373,Programme FRAISAGE 0373,V3.4,Programme CNC pour fraisage,65
374,PRG0374,Programme PERCAGE 0374,V3.5,Programme CNC pour percage,51
375,PRG0375,Programme ALÉSAGE 0375,V3.3,Programme CNC pour alésage,19
376,PRG0376,Programme TARAUDAGE 0376,V1.5,Programme CNC pour taraudage,33
377,PRG0377,Programme FINITION 0377,V1.2,Programme CNC pour finition,50
378,PRG0378,Programme TOURNAGE 0378,V3.2,Programme CNC pour tournage,75
379,PRG0379,Programme FRAISAGE 0379,V3.2,Programme CNC pour fraisage,94
380,PRG0380,Programme PERCAGE 0380,V1.0,Programme CNC pour percage,119
381,PRG0381,Programme ALÉSAGE 0381,V1.3,Programme CNC pour alésage,22
382,PRG0382,Programme TARAUDAGE 0382,V3.5,Programme CNC pour taraudage,97
383,PRG0383,Programme FINITION 0383,V2.0,Programme CNC pour finition,37
384,PRG0384,Programme TOURNAGE 0384,V3.1,Programme CNC pour tournage,29
385,PRG0385,Programme FRAISAGE 0385,V1.3,Programme CNC pour fraisage,32
386,PRG0386,Programme PERCAGE 0386,V2.1,Programme CNC pour percage,96
387,PRG0387,Programme ALÉSAGE 0387,V2.0,Programme CNC pour alésage,101
388,PRG0388,Programme TARAUDAGE 0388,V2.0,Programme CNC pour taraudage,86
389,PRG0389,Programme FINITION 0389,V3.4,Programme CNC pour finition,20
390,PRG0390,Programme TOURNAGE 0390,V2.3,Programme CNC pour tournage,89
391,PRG0391,Programme FRAISAGE 0391,V3.4,Programme CNC pour fraisage,22
392,PRG0392,Programme PERCAGE 0392,V2.0,Programme CNC pour percage,72
393,PRG0393,Programme ALÉSAGE 0393,V3.0,Programme CNC pour alésage,75
394,PRG0394,Programme TARAUDAGE 0394,V2.4,Programme CNC pour taraudage,66
395,PRG0395,Programme FINITION 0395,V3.1,Programme CNC pour finition,93
396,PRG0396,Programme TOURNAGE 0396,V3.1,Programme CNC pour tournage,98
397,PRG0397,Programme FRAISAGE 0397,V1.0,Programme CNC pour fraisage,54
398,PRG0398,Programme PERCAGE 0398,V3.4,Programme CNC pour percage,82
399,PRG0399,Programme ALÉSAGE 0399,V2.4,Programme CNC pour alésage,117
400,PRG0400,Programme TARAUDAGE 0400,V2.3,Programme CNC pour taraudage,82
