phase_gamme_id,gamme_id,numero_phase,designation,machine_id,outil_id,programme_id,temps_usinage_prevu,temps_reglage_prevu,exigence_technique
343,76,3,Phase 3 - Rectification,8,61,203,14,7,
344,76,4,Phase 4 - Perçage,4,96,131,22,3,Perpendicularité 0.05mm
345,76,5,Phase 5 - Contrôle qualité,10,114,266,16,3,PDT 100%
346,77,1,Phase 1 - Débit / Tronçonnage,12,87,219,10,5,
347,77,2,Phase 2 - Fraisage,9,82,140,34,3,Parallélisme 0.03mm
348,77,3,Phase 3 - Fraisage,9,20,184,15,7,Surface Ra 3.2µm
349,77,4,Phase 4 - Perçage,4,26,61,7,7,Diamètre ±0.02mm
350,77,5,Phase 5 - Contrôle qualité,3,51,346,15,4,Contrôle dimensionnel
351,78,1,Phase 1 - Réglement / Montage,9,71,98,4,13,Centrage ±0.02mm
352,78,2,Phase 2 - Perçage,8,89,207,17,2,Taraudage M6
353,78,3,Phase 3 - Fraisage,6,102,117,24,14,Parallélisme 0.03mm
354,78,4,Phase 4 - Fraisage,9,119,175,15,8,Parallélisme 0.03mm
355,78,5,Phase 5 - Fraisage,9,54,225,38,11,Surface Ra 3.2µm
356,78,6,Phase 6 - Ébavurage,6,33,157,3,4,
357,79,1,Phase 1 - Réglement / Montage,3,58,215,8,17,Perpendicularité 0.02mm
358,79,2,Phase 2 - Tournage,1,146,17,18,5,Concentricité 0.01mm
359,79,3,Phase 3 - Fraisage,9,98,105,35,4,Profondeur ±0.05mm
360,79,4,Phase 4 - Ébavurage,2,85,292,10,3,Pas d'arêtes vives
361,80,1,Phase 1 - Débit / Tronçonnage,11,46,17,14,6,
362,80,2,Phase 2 - Tournage,2,18,198,28,6,Cylindricité 0.02mm
363,80,3,Phase 3 - Tournage,10,18,233,13,8,Surface Ra 1.6µm
364,80,4,Phase 4 - Tournage,7,101,81,17,5,Diamètre ±0.01mm
365,80,5,Phase 5 - Ébavurage,2,100,106,5,2,Rayon R0.2 max
366,81,1,Phase 1 - Débit / Tronçonnage,8,41,310,12,4,Longueur ±1mm
367,81,2,Phase 2 - Fraisage,9,71,104,10,5,Profondeur ±0.05mm
368,81,3,Phase 3 - Tournage,7,64,270,31,12,Diamètre ±0.01mm
369,81,4,Phase 4 - Fraisage,6,24,148,39,8,Planéité 0.02mm
370,81,5,Phase 5 - Fraisage,6,107,128,21,12,Profondeur ±0.05mm
371,81,6,Phase 6 - Ébavurage,9,47,358,12,1,Rayon R0.2 max
372,82,1,Phase 1 - Réglement / Montage,1,62,81,6,14,Centrage ±0.02mm
373,82,2,Phase 2 - Perçage,4,127,211,22,3,Alésage H7
374,82,3,Phase 3 - Ébavurage,2,130,393,8,4,Rayon R0.2 max
375,83,1,Phase 1 - Débit / Tronçonnage,7,130,23,10,2,Cote brute ±0.5mm
376,83,2,Phase 2 - Fraisage,9,98,176,35,6,Profondeur ±0.05mm
377,83,3,Phase 3 - Tournage,5,30,364,18,8,Diamètre ±0.01mm
378,83,4,Phase 4 - Fraisage,6,22,281,25,14,Profondeur ±0.05mm
379,83,5,Phase 5 - Ébavurage,10,42,88,3,5,Pas d'arêtes vives
380,84,1,Phase 1 - Débit / Tronçonnage,2,137,380,9,3,Cote brute ±0.5mm
381,84,2,Phase 2 - Perçage,3,70,79,19,7,Perpendicularité 0.05mm
382,84,3,Phase 3 - Tournage,1,137,111,38,14,Surface Ra 1.6µm
383,84,4,Phase 4 - Contrôle qualité,11,27,200,14,5,PDT 100%
384,85,1,Phase 1 - Réglement / Montage,1,97,393,5,12,Perpendicularité 0.02mm
385,85,2,Phase 2 - Rectification,7,24,9,21,3,Surface Ra 0.8µm
386,85,3,Phase 3 - Fraisage,6,17,113,16,15,Parallélisme 0.03mm
387,85,4,Phase 4 - Perçage,3,107,263,8,7,Alésage H7
388,85,5,Phase 5 - Fraisage,6,54,278,35,9,Surface Ra 3.2µm
389,85,6,Phase 6 - Tournage,1,92,166,21,3,Diamètre ±0.01mm
390,85,7,Phase 7 - Contrôle qualité,1,100,109,19,3,PDT 100%
391,86,1,Phase 1 - Réglement / Montage,10,95,23,3,11,
392,86,2,Phase 2 - Tournage,10,128,53,55,11,Cylindricité 0.02mm
393,86,3,Phase 3 - Tournage,1,84,324,54,9,Cylindricité 0.02mm
394,86,4,Phase 4 - Tournage,5,124,35,31,3,Diamètre ±0.01mm
395,86,5,Phase 5 - Fraisage,6,129,301,10,6,Surface Ra 3.2µm
396,86,6,Phase 6 - Contrôle qualité,2,80,122,18,8,Mesure 3 points
397,87,1,Phase 1 - Réglement / Montage,1,36,192,9,14,Parallélisme 0.01mm
398,87,2,Phase 2 - Tournage,2,10,122,56,12,Diamètre ±0.01mm
399,87,3,Phase 3 - Perçage,8,35,143,15,2,Taraudage M6
400,87,4,Phase 4 - Fraisage,9,7,118,31,8,Parallélisme 0.03mm
401,87,5,Phase 5 - Tournage,1,64,352,54,14,Cylindricité 0.02mm
402,87,6,Phase 6 - Contrôle qualité,4,134,165,10,5,PDT 100%
403,88,1,Phase 1 - Débit / Tronçonnage,8,18,99,3,7,Longueur ±1mm
404,88,2,Phase 2 - Rectification,5,24,89,26,6,Cylindricité 0.005mm
405,88,3,Phase 3 - Fraisage,9,120,160,20,14,Parallélisme 0.03mm
406,88,4,Phase 4 - Ébavurage,5,64,156,7,5,Rayon R0.2 max
407,89,1,Phase 1 - Réglement / Montage,7,70,247,3,16,
408,89,2,Phase 2 - Fraisage,9,113,217,42,12,Profondeur ±0.05mm
409,89,3,Phase 3 - Perçage,11,6,391,17,8,Diamètre ±0.02mm
410,89,4,Phase 4 - Contrôle qualité,10,138,79,10,4,
411,90,1,Phase 1 - Débit / Tronçonnage,8,73,193,11,6,
412,90,2,Phase 2 - Tournage,2,121,101,19,6,Surface Ra 1.6µm
413,90,3,Phase 3 - Tournage,10,96,252,35,9,Diamètre ±0.01mm
414,90,4,Phase 4 - Rectification,3,99,251,17,4,
415,90,5,Phase 5 - Contrôle qualité,2,99,290,10,3,
416,91,1,Phase 1 - Réglement / Montage,3,131,364,9,16,Centrage ±0.02mm
417,91,2,Phase 2 - Fraisage,9,64,125,40,3,Planéité 0.02mm
418,91,3,Phase 3 - Fraisage,6,38,134,48,10,Parallélisme 0.03mm
419,91,4,Phase 4 - Ébavurage,6,149,340,5,1,Pas d'arêtes vives
420,92,1,Phase 1 - Réglement / Montage,9,99,204,3,11,
421,92,2,Phase 2 - Tournage,7,65,355,29,11,Diamètre ±0.01mm
422,92,3,Phase 3 - Fraisage,9,23,56,50,12,Planéité 0.02mm
423,92,4,Phase 4 - Perçage,8,54,384,17,6,Diamètre ±0.02mm
424,92,5,Phase 5 - Contrôle qualité,8,1,50,7,8,
425,93,1,Phase 1 - Réglement / Montage,9,74,376,8,10,Parallélisme 0.01mm
426,93,2,Phase 2 - Fraisage,6,51,250,21,11,Surface Ra 3.2µm
427,93,3,Phase 3 - Ébavurage,7,48,103,3,2,Pas d'arêtes vives
428,94,1,Phase 1 - Débit / Tronçonnage,4,113,321,12,2,Longueur ±1mm
429,94,2,Phase 2 - Tournage,1,97,64,27,4,Concentricité 0.01mm
430,94,3,Phase 3 - Ébavurage,7,123,249,4,1,Pas d'arêtes vives
431,95,1,Phase 1 - Débit / Tronçonnage,1,150,22,4,3,Cote brute ±0.5mm
432,95,2,Phase 2 - Fraisage,9,125,243,31,12,Profondeur ±0.05mm
433,95,3,Phase 3 - Fraisage,9,81,123,33,13,Profondeur ±0.05mm
434,95,4,Phase 4 - Fraisage,6,92,170,16,3,Profondeur ±0.05mm
435,95,5,Phase 5 - Perçage,11,36,14,24,3,Alésage H7
436,95,6,Phase 6 - Contrôle qualité,7,95,232,20,6,
437,96,1,Phase 1 - Réglement / Montage,1,83,9,7,6,Perpendicularité 0.02mm
438,96,2,Phase 2 - Perçage,4,125,205,24,3,Alésage H7
439,96,3,Phase 3 - Fraisage,9,26,376,34,7,Parallélisme 0.03mm
440,96,4,Phase 4 - Perçage,3,33,255,7,6,Taraudage M6
441,96,5,Phase 5 - Ébavurage,8,30,247,11,2,Pas d'arêtes vives
442,97,1,Phase 1 - Débit / Tronçonnage,2,28,223,14,2,Longueur ±1mm
443,97,2,Phase 2 - Rectification,3,99,393,16,6,Parallélisme 0.01mm
444,97,3,Phase 3 - Fraisage,6,35,274,50,14,Profondeur ±0.05mm
445,97,4,Phase 4 - Ébavurage,3,58,295,12,1,
446,98,1,Phase 1 - Débit / Tronçonnage,4,144,224,15,3,Longueur ±1mm
447,98,2,Phase 2 - Tournage,5,23,58,15,8,Cylindricité 0.02mm
448,98,3,Phase 3 - Perçage,3,147,189,9,7,Taraudage M6
449,98,4,Phase 4 - Contrôle qualité,1,80,32,11,8,
450,99,1,Phase 1 - Réglement / Montage,3,94,348,4,12,Centrage ±0.02mm
451,99,2,Phase 2 - Fraisage,9,81,75,28,6,Profondeur ±0.05mm
452,99,3,Phase 3 - Perçage,4,73,75,6,7,Alésage H7
453,99,4,Phase 4 - Fraisage,6,71,362,46,10,Parallélisme 0.03mm
454,99,5,Phase 5 - Fraisage,9,16,171,19,14,Parallélisme 0.03mm
455,99,6,Phase 6 - Contrôle qualité,7,14,398,10,8,
456,100,1,Phase 1 - Réglement / Montage,10,41,12,10,17,Perpendicularité 0.02mm
457,100,2,Phase 2 - Fraisage,9,90,388,35,9,Surface Ra 3.2µm
458,100,3,Phase 3 - Fraisage,9,73,357,22,14,Profondeur ±0.05mm
459,100,4,Phase 4 - Ébavurage,3,149,28,7,4,
460,101,1,Phase 1 - Débit / Tronçonnage,5,114,357,10,4,Longueur ±1mm
461,101,2,Phase 2 - Tournage,2,3,186,56,12,Surface Ra 1.6µm
462,101,3,Phase 3 - Perçage,4,97,219,10,2,Diamètre ±0.02mm
463,101,4,Phase 4 - Ébavurage,8,46,27,4,5,
464,102,1,Phase 1 - Débit / Tronçonnage,4,39,322,14,5,Longueur ±1mm
465,102,2,Phase 2 - Tournage,2,102,251,29,14,Cylindricité 0.02mm
466,102,3,Phase 3 - Fraisage,9,23,399,39,13,Profondeur ±0.05mm
467,102,4,Phase 4 - Ébavurage,9,114,189,3,1,Pas d'arêtes vives
468,103,1,Phase 1 - Débit / Tronçonnage,8,131,116,3,6,
469,103,2,Phase 2 - Tournage,1,47,197,40,13,Diamètre ±0.01mm
470,103,3,Phase 3 - Ébavurage,5,26,167,4,5,Pas d'arêtes vives
471,104,1,Phase 1 - Débit / Tronçonnage,1,101,285,11,8,
472,104,2,Phase 2 - Tournage,10,138,366,60,13,Surface Ra 1.6µm
473,104,3,Phase 3 - Perçage,4,31,93,24,4,Diamètre ±0.02mm
474,104,4,Phase 4 - Fraisage,9,32,21,18,12,Parallélisme 0.03mm
475,104,5,Phase 5 - Contrôle qualité,2,144,132,6,2,PDT 100%
476,105,1,Phase 1 - Réglement / Montage,3,140,88,8,5,Parallélisme 0.01mm
477,105,2,Phase 2 - Tournage,10,76,338,44,10,Cylindricité 0.02mm
478,105,3,Phase 3 - Fraisage,9,134,181,48,11,Parallélisme 0.03mm
479,105,4,Phase 4 - Perçage,3,61,19,11,4,Alésage H7
480,105,5,Phase 5 - Perçage,4,35,309,22,5,Alésage H7
481,105,6,Phase 6 - Ébavurage,6,109,39,11,3,Rayon R0.2 max
482,106,1,Phase 1 - Débit / Tronçonnage,5,103,234,4,4,
483,106,2,Phase 2 - Rectification,5,138,105,10,7,Cylindricité 0.005mm
484,106,3,Phase 3 - Perçage,4,108,79,15,8,Taraudage M6
485,106,4,Phase 4 - Tournage,10,64,40,27,4,Surface Ra 1.6µm
486,106,5,Phase 5 - Contrôle qualité,4,17,169,7,4,Contrôle dimensionnel
487,107,1,Phase 1 - Réglement / Montage,5,58,141,2,8,
488,107,2,Phase 2 - Rectification,7,97,54,11,5,Parallélisme 0.01mm
489,107,3,Phase 3 - Fraisage,9,25,271,32,14,Planéité 0.02mm
490,107,4,Phase 4 - Contrôle qualité,6,26,25,10,4,
491,108,1,Phase 1 - Débit / Tronçonnage,11,142,305,9,5,Longueur ±1mm
492,108,2,Phase 2 - Tournage,10,40,337,18,5,Diamètre ±0.01mm
493,108,3,Phase 3 - Fraisage,9,14,372,50,8,Parallélisme 0.03mm
494,108,4,Phase 4 - Contrôle qualité,4,118,94,19,4,
495,109,1,Phase 1 - Réglement / Montage,10,110,267,5,14,Centrage ±0.02mm
496,109,2,Phase 2 - Rectification,4,81,47,28,4,Surface Ra 0.8µm
497,109,3,Phase 3 - Perçage,3,43,295,6,3,Alésage H7
498,109,4,Phase 4 - Contrôle qualité,8,3,218,9,5,
499,110,1,Phase 1 - Réglement / Montage,9,137,358,3,17,Centrage ±0.02mm
500,110,2,Phase 2 - Fraisage,6,109,360,44,14,Planéité 0.02mm
501,110,3,Phase 3 - Tournage,10,11,311,38,5,Cylindricité 0.02mm
502,110,4,Phase 4 - Ébavurage,3,35,264,8,1,Rayon R0.2 max
503,111,1,Phase 1 - Débit / Tronçonnage,5,96,58,8,7,Longueur ±1mm
504,111,2,Phase 2 - Perçage,3,75,154,20,6,Alésage H7
505,111,3,Phase 3 - Tournage,10,101,112,29,13,Surface Ra 1.6µm
506,111,4,Phase 4 - Rectification,6,125,30,19,3,
507,111,5,Phase 5 - Ébavurage,3,28,3,8,2,Rayon R0.2 max
508,112,1,Phase 1 - Débit / Tronçonnage,2,111,252,6,2,Longueur ±1mm
509,112,2,Phase 2 - Fraisage,9,2,80,26,6,Profondeur ±0.05mm
510,112,3,Phase 3 - Fraisage,9,94,220,21,11,Planéité 0.02mm
511,112,4,Phase 4 - Tournage,7,113,83,18,8,Diamètre ±0.01mm
512,112,5,Phase 5 - Ébavurage,7,29,98,7,1,Pas d'arêtes vives
513,113,1,Phase 1 - Débit / Tronçonnage,3,9,83,13,3,
514,113,2,Phase 2 - Rectification,10,31,216,23,10,Cylindricité 0.005mm
515,113,3,Phase 3 - Tournage,7,129,372,57,9,Cylindricité 0.02mm
516,113,4,Phase 4 - Ébavurage,2,6,65,5,3,
517,114,1,Phase 1 - Débit / Tronçonnage,7,14,348,8,5,Cote brute ±0.5mm
518,114,2,Phase 2 - Fraisage,9,73,249,15,15,Profondeur ±0.05mm
519,114,3,Phase 3 - Tournage,2,131,96,25,7,Surface Ra 1.6µm
520,114,4,Phase 4 - Contrôle qualité,7,110,102,20,7,PDT 100%
521,115,1,Phase 1 - Réglement / Montage,11,47,97,4,12,Centrage ±0.02mm
522,115,2,Phase 2 - Tournage,1,71,99,19,9,Surface Ra 1.6µm
523,115,3,Phase 3 - Fraisage,6,14,195,36,11,Planéité 0.02mm
524,115,4,Phase 4 - Perçage,4,57,173,18,9,Diamètre ±0.02mm
525,115,5,Phase 5 - Fraisage,6,78,57,27,8,Planéité 0.02mm
526,115,6,Phase 6 - Rectification,4,64,164,9,5,Surface Ra 0.8µm
527,115,7,Phase 7 - Ébavurage,9,83,109,7,4,Rayon R0.2 max
528,116,1,Phase 1 - Réglement / Montage,2,111,95,6,20,Perpendicularité 0.02mm
529,116,2,Phase 2 - Fraisage,6,25,343,10,13,Parallélisme 0.03mm
530,116,3,Phase 3 - Tournage,5,136,310,33,6,Concentricité 0.01mm
531,116,4,Phase 4 - Tournage,7,23,55,18,13,Surface Ra 1.6µm
532,116,5,Phase 5 - Ébavurage,9,49,99,10,1,Pas d'arêtes vives
533,117,1,Phase 1 - Réglement / Montage,6,88,155,9,11,Parallélisme 0.01mm
534,117,2,Phase 2 - Tournage,2,108,282,55,7,Concentricité 0.01mm
535,117,3,Phase 3 - Rectification,8,31,224,10,10,
536,117,4,Phase 4 - Fraisage,6,43,307,27,14,Parallélisme 0.03mm
537,117,5,Phase 5 - Ébavurage,6,16,356,6,4,Rayon R0.2 max
538,118,1,Phase 1 - Réglement / Montage,11,20,85,9,17,
539,118,2,Phase 2 - Fraisage,9,53,95,10,5,Parallélisme 0.03mm
540,118,3,Phase 3 - Fraisage,6,132,234,42,14,Planéité 0.02mm
541,118,4,Phase 4 - Ébavurage,7,76,363,7,5,Pas d'arêtes vives
542,119,1,Phase 1 - Débit / Tronçonnage,1,137,122,7,2,Longueur ±1mm
543,119,2,Phase 2 - Rectification,10,35,139,9,6,Cylindricité 0.005mm
544,119,3,Phase 3 - Fraisage,6,89,324,48,8,Planéité 0.02mm
545,119,4,Phase 4 - Tournage,10,68,370,18,9,Concentricité 0.01mm
546,119,5,Phase 5 - Ébavurage,1,3,183,6,3,Pas d'arêtes vives
547,120,1,Phase 1 - Débit / Tronçonnage,1,138,337,15,8,Cote brute ±0.5mm
548,120,2,Phase 2 - Perçage,11,66,321,25,10,Perpendicularité 0.05mm
549,120,3,Phase 3 - Contrôle qualité,7,84,138,11,6,
550,121,1,Phase 1 - Débit / Tronçonnage,7,112,189,5,5,Cote brute ±0.5mm
551,121,2,Phase 2 - Fraisage,9,48,91,22,12,Profondeur ±0.05mm
552,121,3,Phase 3 - Rectification,5,73,11,17,5,Cylindricité 0.005mm
553,121,4,Phase 4 - Perçage,4,18,74,7,8,Perpendicularité 0.05mm
554,121,5,Phase 5 - Ébavurage,9,104,52,11,2,
555,122,1,Phase 1 - Réglement / Montage,1,26,194,8,5,Centrage ±0.02mm
556,122,2,Phase 2 - Perçage,3,34,128,7,6,Perpendicularité 0.05mm
557,122,3,Phase 3 - Rectification,6,4,5,11,8,Surface Ra 0.8µm
558,122,4,Phase 4 - Tournage,7,145,228,20,7,Concentricité 0.01mm
559,122,5,Phase 5 - Fraisage,6,15,279,27,13,Surface Ra 3.2µm
560,122,6,Phase 6 - Ébavurage,1,27,279,7,1,
561,123,1,Phase 1 - Réglement / Montage,4,37,1,5,5,Parallélisme 0.01mm
562,123,2,Phase 2 - Fraisage,6,91,336,28,6,Profondeur ±0.05mm
563,123,3,Phase 3 - Contrôle qualité,2,126,87,8,3,PDT 100%
564,124,1,Phase 1 - Réglement / Montage,10,92,40,7,8,Perpendicularité 0.02mm
565,124,2,Phase 2 - Rectification,2,12,310,12,5,
566,124,3,Phase 3 - Fraisage,6,109,77,29,12,Planéité 0.02mm
567,124,4,Phase 4 - Fraisage,6,70,256,33,7,Surface Ra 3.2µm
568,124,5,Phase 5 - Contrôle qualité,5,38,164,9,5,
569,125,1,Phase 1 - Réglement / Montage,8,18,58,8,13,Parallélisme 0.01mm
570,125,2,Phase 2 - Tournage,2,47,393,34,8,Concentricité 0.01mm
571,125,3,Phase 3 - Fraisage,9,106,309,50,8,Parallélisme 0.03mm
572,125,4,Phase 4 - Perçage,4,99,215,22,9,Taraudage M6
573,125,5,Phase 5 - Contrôle qualité,7,99,43,18,6,Mesure 3 points
574,126,1,Phase 1 - Réglement / Montage,7,93,2,5,5,Perpendicularité 0.02mm
575,126,2,Phase 2 - Fraisage,6,29,31,32,8,Parallélisme 0.03mm
576,126,3,Phase 3 - Tournage,2,142,216,25,6,Cylindricité 0.02mm
577,126,4,Phase 4 - Tournage,2,31,357,55,5,Diamètre ±0.01mm
578,126,5,Phase 5 - Perçage,11,96,28,8,3,Taraudage M6
579,126,6,Phase 6 - Contrôle qualité,5,8,76,16,3,PDT 100%
580,127,1,Phase 1 - Débit / Tronçonnage,1,146,214,5,8,Longueur ±1mm
581,127,2,Phase 2 - Fraisage,6,136,358,29,10,Profondeur ±0.05mm
582,127,3,Phase 3 - Contrôle qualité,8,4,147,8,3,PDT 100%
583,128,1,Phase 1 - Réglement / Montage,1,45,258,4,5,
584,128,2,Phase 2 - Perçage,11,142,365,13,10,Alésage H7
585,128,3,Phase 3 - Perçage,11,41,140,7,10,Taraudage M6
586,128,4,Phase 4 - Rectification,5,55,206,27,3,Cylindricité 0.005mm
587,128,5,Phase 5 - Ébavurage,11,20,355,10,4,Rayon R0.2 max
588,129,1,Phase 1 - Réglement / Montage,4,98,85,2,16,
589,129,2,Phase 2 - Tournage,1,27,40,33,12,Concentricité 0.01mm
590,129,3,Phase 3 - Tournage,5,42,278,16,4,Cylindricité 0.02mm
591,129,4,Phase 4 - Contrôle qualité,10,49,283,11,7,PDT 100%
592,130,1,Phase 1 - Débit / Tronçonnage,2,146,290,3,6,
593,130,2,Phase 2 - Tournage,5,24,159,10,8,Concentricité 0.01mm
594,130,3,Phase 3 - Rectification,11,50,162,20,8,Cylindricité 0.005mm
595,130,4,Phase 4 - Perçage,3,85,209,21,3,Perpendicularité 0.05mm
596,130,5,Phase 5 - Tournage,7,123,301,12,7,Cylindricité 0.02mm
597,130,6,Phase 6 - Tournage,7,21,321,15,14,Cylindricité 0.02mm
598,130,7,Phase 7 - Contrôle qualité,9,37,394,10,6,Contrôle dimensionnel
599,131,1,Phase 1 - Débit / Tronçonnage,5,87,149,8,6,
600,131,2,Phase 2 - Tournage,7,62,107,49,12,Surface Ra 1.6µm
601,131,3,Phase 3 - Rectification,6,128,50,8,5,Parallélisme 0.01mm
602,131,4,Phase 4 - Contrôle qualité,2,128,49,19,4,Mesure 3 points
603,132,1,Phase 1 - Réglement / Montage,5,18,144,7,16,Centrage ±0.02mm
604,132,2,Phase 2 - Tournage,7,67,243,26,15,Diamètre ±0.01mm
605,132,3,Phase 3 - Fraisage,6,32,292,41,3,Planéité 0.02mm
606,132,4,Phase 4 - Perçage,11,105,318,9,9,Alésage H7
607,132,5,Phase 5 - Fraisage,9,96,43,36,11,Profondeur ±0.05mm
608,132,6,Phase 6 - Ébavurage,9,11,318,3,2,
609,133,1,Phase 1 - Réglement / Montage,1,40,54,6,17,Parallélisme 0.01mm
610,133,2,Phase 2 - Fraisage,6,58,199,39,13,Surface Ra 3.2µm
611,133,3,Phase 3 - Fraisage,9,137,239,16,4,Parallélisme 0.03mm
612,133,4,Phase 4 - Perçage,11,111,103,17,7,Diamètre ±0.02mm
613,133,5,Phase 5 - Tournage,10,125,109,54,14,Diamètre ±0.01mm
614,133,6,Phase 6 - Ébavurage,8,10,280,5,4,Pas d'arêtes vives
615,134,1,Phase 1 - Réglement / Montage,3,146,17,8,6,Perpendicularité 0.02mm
616,134,2,Phase 2 - Perçage,11,55,28,11,2,Taraudage M6
617,134,3,Phase 3 - Tournage,2,22,73,14,7,Diamètre ±0.01mm
618,134,4,Phase 4 - Ébavurage,8,108,269,6,3,Pas d'arêtes vives
619,135,1,Phase 1 - Réglement / Montage,2,110,176,6,10,Parallélisme 0.01mm
620,135,2,Phase 2 - Fraisage,9,124,244,44,14,Parallélisme 0.03mm
621,135,3,Phase 3 - Rectification,4,91,355,26,9,Surface Ra 0.8µm
622,135,4,Phase 4 - Fraisage,6,20,371,47,12,Parallélisme 0.03mm
623,135,5,Phase 5 - Ébavurage,3,4,78,10,2,Rayon R0.2 max
624,136,1,Phase 1 - Réglement / Montage,2,105,135,10,5,
625,136,2,Phase 2 - Rectification,5,116,328,26,4,Surface Ra 0.8µm
626,136,3,Phase 3 - Ébavurage,7,108,357,11,2,
627,137,1,Phase 1 - Débit / Tronçonnage,3,54,98,13,6,Cote brute ±0.5mm
628,137,2,Phase 2 - Fraisage,9,5,155,29,11,Surface Ra 3.2µm
629,137,3,Phase 3 - Perçage,11,106,211,16,7,Taraudage M6
630,137,4,Phase 4 - Fraisage,9,30,91,39,9,Planéité 0.02mm
631,137,5,Phase 5 - Tournage,10,42,278,37,9,Concentricité 0.01mm
632,137,6,Phase 6 - Contrôle qualité,9,112,325,14,7,PDT 100%
633,138,1,Phase 1 - Réglement / Montage,2,23,333,2,18,Centrage ±0.02mm
634,138,2,Phase 2 - Fraisage,6,114,258,47,15,Surface Ra 3.2µm
635,138,3,Phase 3 - Perçage,11,55,115,19,10,Taraudage M6
636,138,4,Phase 4 - Ébavurage,8,32,180,10,4,
637,139,1,Phase 1 - Réglement / Montage,4,2,192,5,14,Perpendicularité 0.02mm
638,139,2,Phase 2 - Perçage,8,79,213,12,2,Taraudage M6
639,139,3,Phase 3 - Tournage,1,40,192,43,14,Concentricité 0.01mm
640,139,4,Phase 4 - Ébavurage,6,111,124,11,4,Pas d'arêtes vives
641,140,1,Phase 1 - Réglement / Montage,4,14,296,8,9,
642,140,2,Phase 2 - Rectification,5,104,163,24,5,
643,140,3,Phase 3 - Tournage,2,130,61,50,12,Diamètre ±0.01mm
644,140,4,Phase 4 - Perçage,8,142,82,15,5,Diamètre ±0.02mm
645,140,5,Phase 5 - Ébavurage,4,3,322,12,2,Pas d'arêtes vives
646,141,1,Phase 1 - Réglement / Montage,11,21,293,8,5,Parallélisme 0.01mm
647,141,2,Phase 2 - Rectification,9,92,96,15,6,Parallélisme 0.01mm
648,141,3,Phase 3 - Ébavurage,7,97,395,7,1,Rayon R0.2 max
649,142,1,Phase 1 - Débit / Tronçonnage,5,6,327,12,8,Cote brute ±0.5mm
650,142,2,Phase 2 - Tournage,10,32,55,19,7,Concentricité 0.01mm
651,142,3,Phase 3 - Rectification,2,20,254,19,6,
652,142,4,Phase 4 - Tournage,1,106,38,41,13,Surface Ra 1.6µm
653,142,5,Phase 5 - Tournage,7,97,161,50,10,Cylindricité 0.02mm
654,142,6,Phase 6 - Ébavurage,1,46,338,12,5,Pas d'arêtes vives
655,143,1,Phase 1 - Débit / Tronçonnage,3,89,248,12,6,Cote brute ±0.5mm
656,143,2,Phase 2 - Tournage,5,32,99,48,3,Surface Ra 1.6µm
657,143,3,Phase 3 - Fraisage,6,56,187,17,6,Surface Ra 3.2µm
658,143,4,Phase 4 - Tournage,2,22,373,54,5,Concentricité 0.01mm
659,143,5,Phase 5 - Ébavurage,7,24,179,11,3,Rayon R0.2 max
660,144,1,Phase 1 - Réglement / Montage,8,112,263,8,11,Perpendicularité 0.02mm
661,144,2,Phase 2 - Tournage,5,101,53,47,15,Concentricité 0.01mm
662,144,3,Phase 3 - Tournage,2,125,222,38,9,Concentricité 0.01mm
663,144,4,Phase 4 - Contrôle qualité,6,28,311,17,5,Mesure 3 points
664,145,1,Phase 1 - Réglement / Montage,3,17,231,4,6,Perpendicularité 0.02mm
665,145,2,Phase 2 - Fraisage,9,136,181,35,3,Surface Ra 3.2µm
666,145,3,Phase 3 - Tournage,5,110,96,32,6,Surface Ra 1.6µm
667,145,4,Phase 4 - Ébavurage,3,96,75,8,1,Pas d'arêtes vives
668,146,1,Phase 1 - Débit / Tronçonnage,1,85,110,10,6,Planarite 0.3mm
669,146,2,Phase 2 - Rectification,11,17,198,17,6,Cylindricité 0.005mm
670,146,3,Phase 3 - Tournage,5,20,294,51,9,Diamètre ±0.01mm
671,146,4,Phase 4 - Ébavurage,3,51,101,3,4,Rayon R0.2 max
672,147,1,Phase 1 - Débit / Tronçonnage,10,108,62,4,5,Longueur ±1mm
673,147,2,Phase 2 - Fraisage,9,61,296,11,7,Surface Ra 3.2µm
674,147,3,Phase 3 - Fraisage,6,119,146,18,9,Surface Ra 3.2µm
675,147,4,Phase 4 - Contrôle qualité,11,11,173,5,2,
676,148,1,Phase 1 - Débit / Tronçonnage,4,78,141,8,8,Planarite 0.3mm
677,148,2,Phase 2 - Fraisage,9,127,314,13,9,Planéité 0.02mm
678,148,3,Phase 3 - Perçage,11,127,329,8,7,Diamètre ±0.02mm
679,148,4,Phase 4 - Ébavurage,1,3,72,4,3,
680,149,1,Phase 1 - Réglement / Montage,7,44,46,5,16,Centrage ±0.02mm
681,149,2,Phase 2 - Rectification,1,67,23,11,3,Parallélisme 0.01mm
682,149,3,Phase 3 - Ébavurage,3,98,139,5,2,
683,150,1,Phase 1 - Débit / Tronçonnage,5,82,76,15,6,
684,150,2,Phase 2 - Fraisage,6,134,271,25,12,Profondeur ±0.05mm
685,150,3,Phase 3 - Fraisage,9,83,396,40,6,Surface Ra 3.2µm
686,150,4,Phase 4 - Tournage,5,22,181,45,6,Cylindricité 0.02mm
687,150,5,Phase 5 - Contrôle qualité,2,127,31,11,2,Mesure 3 points
688,151,1,Phase 1 - Débit / Tronçonnage,4,49,250,4,4,Longueur ±1mm
